Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
SPY,
2009-01-30 19:55:00,
5min,
Full size,
US/Eastern,
,"{'1. open': '63.6470', '2. high': '63.7200', '3. low': '63.1920', '4. close': '63.4730', '5. volume': '2057739'}"
,"{'1. open': '63.2480', '2. high': '64.0360', '3. low': '63.0950', '4. close': '63.5550', '5. volume': '5329716'}"
,"{'1. open': '63.2180', '2. high': '63.4490', '3. low': '63.0120', '4. close': '63.1570', '5. volume': '467858'}"
,"{'1. open': '63.2260', '2. high': '63.3060', '3. low': '62.9820', '4. close': '63.1200', '5. volume': '203445'}"
,"{'1. open': '63.2260', '2. high': '63.3290', '3. low': '63.0270', '4. close': '63.1350', '5. volume': '198019'}"
,"{'1. open': '63.2260', '2. high': '63.3060', '3. low': '63.0350', '4. close': '63.1570', '5. volume': '135034'}"
,"{'1. open': '63.2110', '2. high': '63.2990', '3. low': '63.0120', '4. close': '63.1500', '5. volume': '83530'}"
,"{'1. open': '63.0080', '2. high': '63.4870', '3. low': '62.8550', '4. close': '63.1350', '5. volume': '318210'}"
,"{'1. open': '63.0830', '2. high': '63.1480', '3. low': '62.8030', '4. close': '62.9170', '5. volume': '80759'}"
,"{'1. open': '63.0980', '2. high': '63.2390', '3. low': '62.9300', '4. close': '63.0070', '5. volume': '111401'}"
,"{'1. open': '63.0900', '2. high': '63.1560', '3. low': '62.9000', '4. close': '63.0070', '5. volume': '204538'}"
,"{'1. open': '63.0450', '2. high': '63.1780', '3. low': '62.8780', '4. close': '63.0150', '5. volume': '298873'}"
,"{'1. open': '63.4440', '2. high': '63.5090', '3. low': '62.8400', '4. close': '62.9250', '5. volume': '186774'}"
,"{'1. open': '63.4510', '2. high': '63.5400', '3. low': '63.2970', '4. close': '63.3670', '5. volume': '17100'}"
,"{'1. open': '63.4140', '2. high': '63.5320', '3. low': '63.2600', '4. close': '63.3820', '5. volume': '17400'}"
,"{'1. open': '63.4510', '2. high': '63.5170', '3. low': '63.2450', '4. close': '63.3150', '5. volume': '3000'}"
,"{'1. open': '63.3460', '2. high': '63.5170', '3. low': '63.1850', '4. close': '63.3600', '5. volume': '54200'}"
,"{'1. open': '63.4360', '2. high': '63.5020', '3. low': '63.2070', '4. close': '63.3000', '5. volume': '24289'}"
,"{'1. open': '63.3830', '2. high': '63.5470', '3. low': '63.2220', '4. close': '63.3970', '5. volume': '72500'}"
,"{'1. open': '63.5110', '2. high': '63.6150', '3. low': '63.2070', '4. close': '63.3300', '5. volume': '32200'}"
,"{'1. open': '63.5710', '2. high': '63.6600', '3. low': '63.4170', '4. close': '63.5100', '5. volume': '21000'}"
,"{'1. open': '63.5790', '2. high': '63.6450', '3. low': '63.3950', '4. close': '63.4650', '5. volume': '50200'}"
,"{'1. open': '63.7670', '2. high': '63.8330', '3. low': '63.6050', '4. close': '63.6750', '5. volume': '10000'}"
,"{'1. open': '63.6840', '2. high': '63.7500', '3. low': '63.4850', '4. close': '63.5930', '5. volume': '10700'}"
,"{'1. open': '63.7890', '2. high': '63.8560', '3. low': '63.6350', '4. close': '63.7050', '5. volume': '500'}"
,"{'1. open': '63.7890', '2. high': '63.8560', '3. low': '63.6350', '4. close': '63.7050', '5. volume': '100'}"
,"{'1. open': '63.8650', '2. high': '63.9310', '3. low': '63.7100', '4. close': '63.7800', '5. volume': '200'}"
,"{'1. open': '63.8270', '2. high': '63.8930', '3. low': '63.6720', '4. close': '63.7430', '5. volume': '500'}"
,"{'1. open': '63.9770', '2. high': '64.0440', '3. low': '63.8220', '4. close': '63.8930', '5. volume': '100'}"
,"{'1. open': '63.7670', '2. high': '63.8330', '3. low': '63.6120', '4. close': '63.6830', '5. volume': '100'}"
,"{'1. open': '63.6690', '2. high': '63.7350', '3. low': '63.5150', '4. close': '63.5850', '5. volume': '200'}"
,"{'1. open': '63.9020', '2. high': '63.9680', '3. low': '63.7470', '4. close': '63.8180', '5. volume': '100'}"
,"{'1. open': '64.0450', '2. high': '64.1110', '3. low': '63.8900', '4. close': '63.9610', '5. volume': '100'}"
,"{'1. open': '63.7140', '2. high': '63.7880', '3. low': '63.5300', '4. close': '63.6300', '5. volume': '5155'}"
,"{'1. open': '63.6840', '2. high': '63.8030', '3. low': '63.5070', '4. close': '63.6530', '5. volume': '14198'}"
,"{'1. open': '63.6540', '2. high': '63.7730', '3. low': '63.4770', '4. close': '63.6230', '5. volume': '16022'}"
,"{'1. open': '63.6620', '2. high': '63.7350', '3. low': '63.4620', '4. close': '63.5330', '5. volume': '15595'}"
